,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI Lens,Mobile Height,Processor,Price
449,vivo Y16,Drizzling Gold,32,3,5000,13,5,0,16.54,Mediatek Helio P35,10989
450,realme X3 SuperZoom,Glacier Blue,256,3,4200,64,16,0,16.69,Qualcomm Snapdragon 855,17999
452,REDMI Note 11S,Space Black,128,6,5000,108,16,0,16.33,Mediatek Dimensity 810,16990
454,vivo V23 5G,Stardust Black,128,8,4200,64,16,0,16.36,Mediatek Dimensity 920,29990
457,OnePlus 8,Glacial Green,128,6,4300,48,16,0,16.64,Qualcomm Snapdragon 865,29790
459,OPPO A77s,Starry Black,128,8,5000,50,8,0,16.66,Qualcomm Snapdragon 680,16499
461,POCO M4 Pro,Power Black,128,6,5000,64,16,0,16.33,Mediatek Helio G96,16499
462,REDMI 10A SPORT,SLATE GREY,128,6,5000,13,5,0,16.59,Helio G25,10890
463,REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13,5,0,16.59,Helio G25,10548
464,realme GT 2,Steel Black,256,2,5000,50,16,0,16.81,Qualcomm Snapdragon 888,32299
467,vivo Y33s,Mirror Black,128,8,5000,50,16,0,16.71,MediaTek Helio G80,16990
468,vivo Y56 5G,Orange Shimmer,128,4,5000,50,16,0,16.71,Mediatek Dimensity 700,17999
469,realme Narzo N55,Prime Black,64,4,5000,64,8,0,17.07,MediaTek Helio G88,11490
470,realme Narzo 50A Prime,Flash Black,128,4,5000,50,8,0,16.76,MediaTek Helio G88,12599
471,REDMI Note 10S,Frost White,128,6,5000,64,13,0,16.33,Mediatek Helio G95,16499
473,vivo V23 5G,Sunshine Gold,128,8,4200,64,16,0,16.36,Mediatek Dimensity 920,31989
475,vivo T1 Pro 5G,Turbo Black,128,8,4700,64,16,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,24999
476,vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64,16,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999
477,Infinix Smart 5A,Midnight Black,32,2,5000,8,8,0,16.56,MediaTek Helio A20,7199
478,SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50,8,0,16.76,Qualcomm Snapdragon 750G,15999
479,POCO C31,Royal Blue,64,4,5000,13,5,0,16.59,MediaTek G35,8999
480,POCO C31,Royal Blue,64,4,5000,13,5,0,16.59,MediaTek G35,8999
481,MOTOROLA e22s,Eco Black,64,4,5000,16,8,0,16.51,Mediatek Helio G37,8940
482,vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64,16,0,16.36,Qualcomm Snapdragon 778G,24999
483,Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13,5,0,16.66,MediaTek Helio A22,8288
484,POCO C31,Royal Blue,32,3,5000,13,5,0,16.59,MediaTek Helio G35,8499
485,Infinix Hot 12 Pro,Halo White,64,6,5000,50,8,0,16.76,Unisoc T616,9999
486,SAMSUNG Galaxy A23,Peach,128,6,5000,50,8,0,16.76,Octa-core(EXYNOS),17499
487,REDMI 9i,Midnight Black,64,4,5000,13,5,0,16.59,MediaTek Helio G25,8999
